supplier_name,supplier_website,total_certificates,recent_certificates,certs_last_30d,avg_purity,min_purity,max_purity,std_purity,avg_endotoxin_level,certs_with_endotoxin,volume_score,quality_score,consistency_score,recency_score,endotoxin_score,total_score,rank_position,days_since_last_cert,avg_date_gap,peptides_tested,calculated_at,data_snapshot
hemanpeptide.com,,2,2,2,99.043,99.043,99.043,0.0,,0,6.67,90.43,100.0,96.35,50.0,67.77,3,21,0.0,"[""Klow80(TB-500 10mg+BPC-157 10mg+GHK-CU 50mg+KPV 10mg)"", ""Tesamorelin 10mg""]",2025-12-04T15:23:56.359460,
modern research llc,,2,2,0,99.79,99.79,99.79,0.0,,0,6.67,97.9,100.0,60.0,50.0,64.93,4,50,23.0,"[""Retatrutide 20mg | Shipping to US & Canada"", ""BPC-157/TB500 10mg/10mg | Shipping to US & Canada""]",2025-12-04T15:23:56.359460,
peptidegurus.com,,3,1,0,99.586,99.506,99.689,0.094,,0,10.0,95.86,95.0,63.5,50.0,64.83,5,43,130.0,"[""Retatrutide 20mg in stock in USA,EU,UK,Canada,China"", ""Tesamorelin 10 mg | Domestic shipping from USA and UK"", ""Retatrutide 10MG | PeptideGurus""]",2025-12-04T15:23:56.359460,
homopeptide.com,,3,3,0,99.582,99.353,99.81,0.323,,0,10.0,95.82,100.0,52.0,50.0,63.84,6,66,1.5,"[""Trizepatide 30mg"", ""tesamorelin 10mg"", ""glow 70mg""]",2025-12-04T15:23:56.359460,
licensedpeptides.com,,2,1,0,99.416,99.113,99.72,0.429,,0,6.67,94.16,100.0,57.0,50.0,63.17,7,56,43.0,"[""Retatrutide 40mg | 99.5% Purity + Guaranteed. #1 Rated USA S"", ""Retatrutide 12mg | USA Supplier| Same Day Shipping| Retail Or""]",2025-12-04T15:23:56.359460,
@thegreyhq (telegram),,2,2,2,97.374,97.374,97.374,0.0,,0,6.67,65.83,100.0,100.0,50.0,59.71,8,9,0.0,"[""Somatropin""]",2025-12-04T15:23:56.359460,
qinglishangmao.com,,1,0,0,99.734,99.734,99.734,0.0,,0,3.33,97.34,100.0,31.67,50.0,59.65,9,115,0.0,"[""Retatrutide 50mg | wholesale""]",2025-12-04T15:23:56.359460,
zztai-tech.com,,2,0,0,99.915,99.856,99.974,0.083,,0,6.67,99.15,100.0,18.67,50.0,59.17,10,154,0.0,"[""Retatrutide 10mg"", ""Tirzepatide 30mg""]",2025-12-04T15:23:56.359460,
hkpeptide.com,,3,0,0,99.701,99.699,99.702,0.002,,0,10.0,97.01,100.0,3.15,50.0,56.92,11,430,2.0,"[""Tirzepatide 10mg"", ""Tirzepatide 30mg"", ""NAD+ 500mg""]",2025-12-04T15:23:56.359460,
mandybio.com,,3,3,0,97.929,97.929,97.929,0.0,,0,10.0,69.54,100.0,67.0,50.0,56.89,12,36,0.0,"[""HGH 10iu"", ""KLOW80 BPC TB500 GHK-Cu KPV 80mg"", ""BBG70 BPC-157 GHK-CU TB500""]",2025-12-04T15:23:56.359460,
meipepetide.com,,1,1,1,0.0,0.0,0.0,0.0,,0,3.33,0.0,100.0,90.17,50.0,34.36,13,14,0.0,"[""KLOW (GHK or GHK-Cu/ TB-500/ BPC-157/ KPV)""]",2025-12-04T15:23:56.359460,
